,Protein_product,Replicon_Name,Replicon_Accession,Start,Stop,Strand,Gene,GeneID,Length,Protein_name,Sequence_Length,Sequence_Description,Annotation_GO_ID,Enzyme_Code,Enzyme_Name
2567,XP_022288613.1,6,NC_035785.1,35068207,35134344,+,111100792,LOC111100792,912,peripheral plasma membrane protein CASK-like isoform X10,2739,peripheral plasma membrane protein CASK-like isoform X10,GO:0006464;GO:0016301;GO:0043167,,
2568,XP_022288614.1,6,NC_035785.1,35026419,35040326,+,111100794,LOC111100794,797,TBC1 domain family member 12-like,2394,TBC1 domain family member 12-like,,,
2569,XP_022288615.1,6,NC_035785.1,34948525,34959420,+,111100795,LOC111100795,554,protein PFC0760c-like isoform X1,1665,protein PFC0760c-like isoform X1,,,
2570,XP_022288616.1,6,NC_035785.1,34948525,34959420,+,111100795,LOC111100795,551,protein PFC0760c-like isoform X2,1656,protein PFC0760c-like isoform X2,,,
2571,XP_022288617.1,6,NC_035785.1,35161293,35168848,+,111100796,LOC111100796,509,hemicentin-1-like,1530,hemicentin-1-like,,,
2572,XP_022288618.1,6,NC_035785.1,35161293,35168848,+,111100796,LOC111100796,509,hemicentin-1-like,1530,hemicentin-1-like,,,
2573,XP_022288619.1,6,NC_035785.1,35140555,35151416,+,111100798,LOC111100798,490,suppressor of fused homolog isoform X1,1473,suppressor of fused homolog isoform X1,GO:0005622;GO:0008134;GO:0032991,,
2574,XP_022288620.1,6,NC_035785.1,35147353,35151416,+,111100798,LOC111100798,429,suppressor of fused homolog isoform X2,1290,suppressor of fused homolog isoform X2,GO:0005622;GO:0008134;GO:0032991,,
2575,XP_022288621.1,6,NC_035785.1,34907768,34914861,-,111100799,LOC111100799,408,uncharacterized protein LOC111100799,1227,uncharacterized protein LOC111100799,,,
2576,XP_022288622.1,1,NC_035780.1,38729755,38733902,-,111100797,LOC111100797,444,"beta-1,3-glucan-binding protein-like",1335,beta-1%2C3-glucan-binding protein-like,GO:0005975;GO:0016798,,
2577,XP_022288623.1,6,NC_035785.1,34904496,34905994,+,111100800,LOC111100800,392,basic proline-rich protein-like,1179,basic proline-rich protein-like,,,
2578,XP_022288624.1,6,NC_035785.1,35043164,35057801,-,111100801,LOC111100801,353,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X1,1062,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X1,GO:0003674,,
2579,XP_022288625.1,6,NC_035785.1,35043164,35057801,-,111100801,LOC111100801,349,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X2,1050,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X2,GO:0003674,,
2580,XP_022288626.1,6,NC_035785.1,35043164,35057801,-,111100801,LOC111100801,345,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X3,1038,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X3,GO:0003674,,
2581,XP_022288627.1,6,NC_035785.1,35043164,35057801,-,111100801,LOC111100801,341,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X4,1026,fibronectin type 3 and ankyrin repeat domains 1 protein-like isoform X4,GO:0003674,,
2582,XP_022288628.1,6,NC_035785.1,34934214,34938802,+,111100802,LOC111100802,352,death-associated inhibitor of apoptosis 2-like,1059,death-associated inhibitor of apoptosis 2-like,GO:0005575,,
2583,XP_022288629.1,6,NC_035785.1,35174860,35175834,+,111100803,LOC111100803,324,uncharacterized protein LOC111100803,975,uncharacterized protein LOC111100803,,,
2584,XP_022288630.1,6,NC_035785.1,35266209,35270737,+,111100805,LOC111100805,283,uncharacterized protein LOC111100805,852,uncharacterized protein LOC111100805,,,
2585,XP_022288631.1,6,NC_035785.1,34899647,34902335,+,111100806,LOC111100806,259,uncharacterized protein LOC111100806,780,uncharacterized protein LOC111100806,,,
2586,XP_022288632.1,6,NC_035785.1,34895498,34896561,-,111100807,LOC111100807,223,uncharacterized protein LOC111100807,672,uncharacterized protein LOC111100807,,,
2587,XP_022288633.1,1,NC_035780.1,38719087,38728279,-,111100804,LOC111100804,442,"beta-1,3-glucan-binding protein-like",1329,beta-1%2C3-glucan-binding protein-like,GO:0005975;GO:0016798,,
2588,XP_022288634.1,6,NC_035785.1,35209458,35215418,+,111100808,LOC111100808,195,ras-related C3 botulinum toxin substrate 2-like,588,ras-related C3 botulinum toxin substrate 2-like,GO:0003924;GO:0005622;GO:0007165;GO:0043167,EC:3.6.1.15,Nucleoside-triphosphate phosphatase
2589,XP_022288635.1,6,NC_035785.1,35193525,35199487,-,111100809,LOC111100809,186,probable calcium-binding protein CML34,561,probable calcium-binding protein CML34,GO:0043167,,
2590,XP_022288636.1,6,NC_035785.1,35295906,35303632,+,111100810,LOC111100810,524,LOW QUALITY PROTEIN: zinc finger protein Gfi-1b-like,1575,LOW QUALITY PROTEIN: zinc finger protein Gfi-1b-like,GO:0002376;GO:0003674;GO:0006464;GO:0009058;GO:0034641;GO:0048856;GO:0051276,,
2591,XP_022288637.1,6,NC_035785.1,16718431,16724031,+,111100813,LOC111100813,297,peptidyl-prolyl cis-trans isomerase cyp5-like,894,peptidyl-prolyl cis-trans isomerase cyp5-like,GO:0006464;GO:0016853,EC:5.2.1.8,Peptidylprolyl isomerase
2592,XP_022288638.1,6,NC_035785.1,16724879,16728370,-,111100814,LOC111100814,236,cell wall protein SED1-like,711,cell wall protein SED1-like,,,
2593,XP_022288639.1,6,NC_035785.1,3735860,3755389,-,111100815,LOC111100815,718,uncharacterized protein LOC111100815 isoform X1,2157,uncharacterized protein LOC111100815 isoform X1,,,
2594,XP_022288640.1,6,NC_035785.1,3735860,3766113,-,111100815,LOC111100815,708,uncharacterized protein LOC111100815 isoform X2,2127,uncharacterized protein LOC111100815 isoform X2,,,
2595,XP_022288641.1,6,NC_035785.1,3735860,3737902,-,111100815,LOC111100815,680,uncharacterized protein LOC111100815 isoform X3,2043,uncharacterized protein LOC111100815 isoform X3,,,
2596,XP_022288642.1,6,NC_035785.1,3735860,3737902,-,111100815,LOC111100815,680,uncharacterized protein LOC111100815 isoform X3,2043,uncharacterized protein LOC111100815 isoform X3,,,
2597,XP_022288643.1,6,NC_035785.1,3735860,3737902,-,111100815,LOC111100815,680,uncharacterized protein LOC111100815 isoform X3,2043,uncharacterized protein LOC111100815 isoform X3,,,
2598,XP_022288644.1,1,NC_035780.1,14372044,14374960,-,111100816,LOC111100816,562,location of vulva defective 1-like isoform X1,1689,location of vulva defective 1-like isoform X1,,,
2599,XP_022288645.1,6,NC_035785.1,3813789,3815837,-,111100817,LOC111100817,682,uncharacterized protein LOC111100817,2049,uncharacterized protein LOC111100817,,,
2600,XP_022288646.1,6,NC_035785.1,3813789,3815837,-,111100817,LOC111100817,682,uncharacterized protein LOC111100817,2049,uncharacterized protein LOC111100817,,,
2601,XP_022288647.1,6,NC_035785.1,3813789,3815837,-,111100817,LOC111100817,682,uncharacterized protein LOC111100817,2049,uncharacterized protein LOC111100817,,,
2602,XP_022288648.1,6,NC_035785.1,3904136,3906178,-,111100818,LOC111100818,680,uncharacterized protein LOC111100818,2043,uncharacterized protein LOC111100818,,,
2603,XP_022288649.1,1,NC_035780.1,46078861,46080298,-,111100558,LOC111100558,238,uncharacterized protein LOC111100558,717,uncharacterized protein LOC111100558,,,
2604,XP_022288650.1,6,NC_035785.1,3792329,3794371,-,111100819,LOC111100819,680,uncharacterized protein LOC111100819 isoform X1,2043,uncharacterized protein LOC111100819 isoform X1,,,
2605,XP_022288651.1,6,NC_035785.1,3791545,3794371,-,111100819,LOC111100819,144,uncharacterized protein LOC111100819 isoform X2,435,uncharacterized protein LOC111100819 isoform X2,,,
2606,XP_022288652.1,6,NC_035785.1,3706620,3708662,-,111100820,LOC111100820,680,uncharacterized protein LOC111100820,2043,uncharacterized protein LOC111100820,,,
2607,XP_022288653.1,6,NC_035785.1,3706620,3708662,-,111100820,LOC111100820,680,uncharacterized protein LOC111100820,2043,uncharacterized protein LOC111100820,,,
2608,XP_022288654.1,6,NC_035785.1,3706620,3708662,-,111100820,LOC111100820,680,uncharacterized protein LOC111100820,2043,uncharacterized protein LOC111100820,,,
2609,XP_022288655.1,1,NC_035780.1,14372044,14374017,-,111100816,LOC111100816,457,location of vulva defective 1-like isoform X2,1374,location of vulva defective 1-like isoform X2,,,
2610,XP_022288656.1,6,NC_035785.1,3875237,3877276,-,111100821,LOC111100821,679,uncharacterized protein LOC111100821,2040,uncharacterized protein LOC111100821,,,
2611,XP_022288657.1,6,NC_035785.1,3875237,3877276,-,111100821,LOC111100821,679,uncharacterized protein LOC111100821,2040,uncharacterized protein LOC111100821,,,
2612,XP_022288658.1,6,NC_035785.1,37052682,37060054,-,111100835,LOC111100835,579,pre-mRNA-splicing factor SLU7-like,1740,pre-mRNA-splicing factor SLU7-like,GO:0003723;GO:0006397,,
2613,XP_022288659.1,6,NC_035785.1,37044316,37051518,+,111100836,LOC111100836,509,HSPB1-associated protein 1 homolog,1530,HSPB1-associated protein 1 homolog,,,
2614,XP_022288660.1,6,NC_035785.1,44263216,44315651,+,111100837,LOC111100837,227,uncharacterized protein LOC111100837,684,uncharacterized protein LOC111100837,,,
2615,XP_022288661.1,6,NC_035785.1,44259549,44262633,+,111100838,LOC111100838,117,uncharacterized protein LOC111100838,354,uncharacterized protein LOC111100838,,,
2616,XP_022288662.1,6,NC_035785.1,29064601,29067540,-,111100842,LOC111100842,750,uncharacterized protein LOC111100842,2253,uncharacterized protein LOC111100842,GO:0003674,,
2617,XP_022288663.1,6,NC_035785.1,29057718,29059319,-,111100843,LOC111100843,533,uncharacterized protein LOC111100843 isoform X1,1602,uncharacterized protein LOC111100843 isoform X1,GO:0043167,,
2618,XP_022288664.1,6,NC_035785.1,29067854,29089422,-,111100843,LOC111100843,187,uncharacterized protein LOC111100843 isoform X2,564,uncharacterized protein LOC111100843 isoform X2,,,
2619,XP_022288665.1,6,NC_035785.1,3183359,3187088,+,111100846,LOC111100846,165,proline-rich transmembrane protein 1-like,498,proline-rich transmembrane protein 1-like,GO:0005575,,
2620,XP_022288666.1,6,NC_035785.1,3190458,3193843,+,111100847,LOC111100847,158,proline-rich transmembrane protein 1-like,477,proline-rich transmembrane protein 1-like,GO:0005575,,
2621,XP_022288667.1,6,NC_035785.1,19060654,19074701,-,111100848,LOC111100848,517,secretin receptor-like,1554,secretin receptor-like,GO:0003674;GO:0005575;GO:0007165,,
2622,XP_022288668.1,1,NC_035780.1,55261153,55267219,+,111100845,LOC111100845,177,uncharacterized protein LOC111100845,534,uncharacterized protein LOC111100845,,,
2623,XP_022288669.1,6,NC_035785.1,19096689,19108159,-,111100850,LOC111100850,503,secretin receptor-like,1512,secretin receptor-like,GO:0003674;GO:0005575;GO:0007165,,
2624,XP_022288670.1,6,NC_035785.1,51087733,51118133,+,111100851,LOC111100851,2501,centrosomal protein of 290 kDa-like,7506,centrosomal protein of 290 kDa-like,GO:0005634;GO:0005815;GO:0022607,,
2625,XP_022288671.1,6,NC_035785.1,31872509,31878906,-,111100852,LOC111100852,406,protein FAM53A-like,1221,protein FAM53A-like,,,
2626,XP_022288672.1,6,NC_035785.1,31872509,31878906,-,111100852,LOC111100852,406,protein FAM53A-like,1221,protein FAM53A-like,,,
2627,XP_022288673.1,6,NC_035785.1,31872509,31878906,-,111100852,LOC111100852,406,protein FAM53A-like,1221,protein FAM53A-like,,,
2628,XP_022288674.1,6,NC_035785.1,31872509,31878906,-,111100852,LOC111100852,406,protein FAM53A-like,1221,protein FAM53A-like,,,
2629,XP_022288675.1,6,NC_035785.1,31872509,31878906,-,111100852,LOC111100852,406,protein FAM53A-like,1221,protein FAM53A-like,,,
2630,XP_022288676.1,6,NC_035785.1,30099160,30110936,-,111100853,LOC111100853,607,uncharacterized protein LOC111100853,1824,uncharacterized protein LOC111100853,,,
2631,XP_022288677.1,6,NC_035785.1,30168131,30172264,-,111100855,LOC111100855,604,uncharacterized protein LOC111100855,1815,uncharacterized protein LOC111100855,,,
2632,XP_022288678.1,6,NC_035785.1,30176477,30178248,-,111100856,LOC111100856,326,uncharacterized protein LOC111100856,981,uncharacterized protein LOC111100856,,,
2633,XP_022288679.1,6,NC_035785.1,39879235,39908701,-,111100857,LOC111100857,2500,LOW QUALITY PROTEIN: centrosomal protein of 290 kDa-like,7503,LOW QUALITY PROTEIN: centrosomal protein of 290 kDa-like,GO:0005634;GO:0005815;GO:0022607,,
2634,XP_022288680.1,1,NC_035780.1,59877414,59905317,+,111100854,LOC111100854,1171,uncharacterized protein LOC111100854 isoform X1,3516,uncharacterized protein LOC111100854 isoform X1,,,
2635,XP_022288681.1,6,NC_035785.1,13130688,13161048,+,111100858,LOC111100858,1376,uncharacterized protein LOC111100858 isoform X1,4131,uncharacterized protein LOC111100858 isoform X1,,,
2636,XP_022288682.1,6,NC_035785.1,13130688,13161048,+,111100858,LOC111100858,1376,uncharacterized protein LOC111100858 isoform X1,4131,uncharacterized protein LOC111100858 isoform X1,,,
2637,XP_022288683.1,6,NC_035785.1,13130688,13161048,+,111100858,LOC111100858,1376,uncharacterized protein LOC111100858 isoform X1,4131,uncharacterized protein LOC111100858 isoform X1,,,
2638,XP_022288684.1,6,NC_035785.1,13130688,13161048,+,111100858,LOC111100858,1376,uncharacterized protein LOC111100858 isoform X1,4131,uncharacterized protein LOC111100858 isoform X1,,,
2639,XP_022288685.1,6,NC_035785.1,13130688,13161048,+,111100858,LOC111100858,1322,uncharacterized protein LOC111100858 isoform X2,3969,uncharacterized protein LOC111100858 isoform X2,,,
2640,XP_022288686.1,6,NC_035785.1,13130688,13148723,+,111100858,LOC111100858,1199,uncharacterized protein LOC111100858 isoform X3,3600,uncharacterized protein LOC111100858 isoform X3,,,
2641,XP_022288687.1,6,NC_035785.1,13136659,13161048,+,111100858,LOC111100858,1150,uncharacterized protein LOC111100858 isoform X4,3453,uncharacterized protein LOC111100858 isoform X4,,,
2642,XP_022288688.1,6,NC_035785.1,35915559,35917205,-,111100860,LOC111100860,548,E3 ubiquitin-protein ligase TRIM71-like,1647,E3 ubiquitin-protein ligase TRIM71-like,GO:0043167,,
2643,XP_022288689.1,1,NC_035780.1,59877414,59905317,+,111100854,LOC111100854,1116,uncharacterized protein LOC111100854 isoform X2,3351,uncharacterized protein LOC111100854 isoform X2,,,
2644,XP_022288690.1,6,NC_035785.1,35915559,35917205,-,111100860,LOC111100860,548,E3 ubiquitin-protein ligase TRIM71-like,1647,E3 ubiquitin-protein ligase TRIM71-like,GO:0043167,,
2645,XP_022288691.1,6,NC_035785.1,35910274,35924684,+,111100861,LOC111100861,469,nucleotide exchange factor SIL1-like isoform X1,1410,nucleotide exchange factor SIL1-like isoform X1,,,
2646,XP_022288692.1,6,NC_035785.1,35910274,35924684,+,111100861,LOC111100861,406,nucleotide exchange factor SIL1-like isoform X2,1221,nucleotide exchange factor SIL1-like isoform X2,,,
2647,XP_022288693.1,6,NC_035785.1,22822746,22824671,+,111100862,LOC111100862,641,uncharacterized protein LOC111100862,1926,uncharacterized protein LOC111100862,GO:0003674;GO:0006464,,
2648,XP_022288694.1,6,NC_035785.1,22828348,22829757,-,111100863,LOC111100863,363,uncharacterized protein LOC111100863,1092,uncharacterized protein LOC111100863,,,
2649,XP_022288695.1,6,NC_035785.1,24017892,24024658,-,111100864,LOC111100864,187,myophilin-like,564,myophilin-like,GO:0003674,,
2650,XP_022288696.1,6,NC_035785.1,24006893,24013163,-,111100865,LOC111100865,172,myophilin-like,519,myophilin-like,GO:0003674,,
2651,XP_022288697.1,1,NC_035780.1,59877414,59905317,+,111100854,LOC111100854,1048,von Willebrand factor A domain-containing protein 7-like isoform X3,3147,von Willebrand factor A domain-containing protein 7-like isoform X3,,,
2652,XP_022288698.1,6,NC_035785.1,2240615,2261653,+,111100866,LOC111100866,1748,tyrosine-protein phosphatase 10D-like,5247,tyrosine-protein phosphatase 10D-like,GO:0006464;GO:0006520;GO:0016791,EC:3.1.3.16;EC:3.1.3.48,Protein-serine/threonine phosphatase;Protein-tyrosine-phosphatase
2653,XP_022288699.1,6,NC_035785.1,3577513,3595193,-,111100867,LOC111100867,1501,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like isoform X1",4506,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1-like isoform X1,GO:0043167,,
2654,XP_022288700.1,6,NC_035785.1,3577513,3595193,-,111100867,LOC111100867,1501,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like isoform X1",4506,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1-like isoform X1,GO:0043167,,
2655,XP_022288701.1,6,NC_035785.1,3577513,3595193,-,111100867,LOC111100867,1490,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like isoform X2",4473,sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1-like isoform X2,GO:0043167,,
2656,XP_022288702.1,6,NC_035785.1,3597151,3610377,-,111100868,LOC111100868,1471,uncharacterized protein LOC111100868,4416,uncharacterized protein LOC111100868,GO:0043167,,
2657,XP_022288703.1,6,NC_035785.1,23925937,23937177,-,111100869,LOC111100869,339,growth arrest-specific protein 2-like isoform X1,1020,growth arrest-specific protein 2-like isoform X1,GO:0005856;GO:0008092;GO:0032991,,
2658,XP_022288704.1,6,NC_035785.1,23925937,23937177,-,111100869,LOC111100869,333,growth arrest-specific protein 2-like isoform X2,1002,growth arrest-specific protein 2-like isoform X2,GO:0005856;GO:0008092;GO:0032991,,
2659,XP_022288705.1,6,NC_035785.1,23925937,23933432,-,111100869,LOC111100869,328,growth arrest-specific protein 2-like isoform X3,987,growth arrest-specific protein 2-like isoform X3,GO:0005856;GO:0008092;GO:0032991,,
2660,XP_022288706.1,6,NC_035785.1,23925937,23933432,-,111100869,LOC111100869,328,growth arrest-specific protein 2-like isoform X3,987,growth arrest-specific protein 2-like isoform X3,GO:0005856;GO:0008092;GO:0032991,,
2661,XP_022288707.1,6,NC_035785.1,23925937,23937177,-,111100869,LOC111100869,325,growth arrest-specific protein 2-like isoform X4,978,growth arrest-specific protein 2-like isoform X4,GO:0005856;GO:0008092;GO:0032991,,
2662,XP_022288708.1,6,NC_035785.1,23925937,23937177,-,111100869,LOC111100869,323,growth arrest-specific protein 2-like isoform X5,972,growth arrest-specific protein 2-like isoform X5,GO:0005856;GO:0008092;GO:0032991,,
2663,XP_022288709.1,6,NC_035785.1,37832288,37866533,-,111100871,LOC111100871,431,uncharacterized protein LOC111100871,1296,uncharacterized protein LOC111100871,,,
2664,XP_022288710.1,1,NC_035780.1,9489432,9494085,-,111100849,LOC111100849,187,lysozyme 3,564,lysozyme 3,GO:0005975;GO:0016798,EC:3.2.1.17,Lysozyme
2665,XP_022288711.1,1,NC_035780.1,59843580,59865114,-,111100870,LOC111100870,1001,von Willebrand factor A domain-containing protein 7-like,3006,von Willebrand factor A domain-containing protein 7-like,,,
2666,XP_022288712.1,6,NC_035785.1,18728546,18787496,-,111100872,LOC111100872,1656,uncharacterized protein LOC111100872 isoform X1,4971,uncharacterized protein LOC111100872 isoform X1,GO:0003674,,
2667,XP_022288713.1,6,NC_035785.1,18735636,18787496,-,111100872,LOC111100872,259,uncharacterized protein LOC111100872 isoform X2,780,uncharacterized protein LOC111100872 isoform X2,,,
2668,XP_022288714.1,6,NC_035785.1,18735636,18787496,-,111100872,LOC111100872,259,uncharacterized protein LOC111100872 isoform X2,780,uncharacterized protein LOC111100872 isoform X2,,,
2669,XP_022288715.1,6,NC_035785.1,18769144,18787496,-,111100872,LOC111100872,169,uncharacterized protein LOC111100872 isoform X3,510,uncharacterized protein LOC111100872 isoform X3,,,
2670,XP_022288716.1,6,NC_035785.1,18769184,18787496,-,111100872,LOC111100872,147,uncharacterized protein LOC111100872 isoform X4,444,uncharacterized protein LOC111100872 isoform X4,,,
2671,XP_022288717.1,6,NC_035785.1,32426156,32438965,+,111100874,LOC111100874,492,F-box-like/WD repeat-containing protein TBL1XR1,1479,F-box-like/WD repeat-containing protein TBL1XR1,GO:0003674,,
2672,XP_022288718.1,6,NC_035785.1,32426156,32438965,+,111100874,LOC111100874,492,F-box-like/WD repeat-containing protein TBL1XR1,1479,F-box-like/WD repeat-containing protein TBL1XR1,GO:0003674,,
2673,XP_022288719.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1494,centrosomal protein of 162 kDa-like isoform X1,4485,centrosomal protein of 162 kDa-like isoform X1,,,
2674,XP_022288720.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1493,centrosomal protein of 162 kDa-like isoform X2,4482,centrosomal protein of 162 kDa-like isoform X2,,,
2675,XP_022288721.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1490,centrosomal protein of 162 kDa-like isoform X3,4473,centrosomal protein of 162 kDa-like isoform X3,,,
2676,XP_022288722.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1488,centrosomal protein of 162 kDa-like isoform X4,4467,centrosomal protein of 162 kDa-like isoform X4,,,
2677,XP_022288723.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1486,centrosomal protein of 162 kDa-like isoform X5,4461,centrosomal protein of 162 kDa-like isoform X5,,,
2678,XP_022288724.1,6,NC_035785.1,11860077,11882152,-,111100875,LOC111100875,1480,centrosomal protein of 162 kDa-like isoform X6,4443,centrosomal protein of 162 kDa-like isoform X6,,,
2679,XP_022288725.1,1,NC_035780.1,59908389,59922086,-,111100876,LOC111100876,898,brain-specific angiogenesis inhibitor 1-like,2697,brain-specific angiogenesis inhibitor 1-like,GO:0003674;GO:0005575;GO:0007165;GO:0048646,,
2680,XP_022288726.1,6,NC_035785.1,11852147,11857921,+,111100877,LOC111100877,471,histone deacetylase 8-like,1416,histone deacetylase 8-like,GO:0005654;GO:0006464;GO:0016810;GO:0032991;GO:0051276,EC:3.5.1.98,Histone deacetylase
2681,XP_022288727.1,6,NC_035785.1,41842694,41857818,+,111100878,LOC111100878,703,uncharacterized protein LOC111100878 isoform X1,2112,uncharacterized protein LOC111100878 isoform X1,GO:0002376;GO:0003674;GO:0006950;GO:0007165,,
2682,XP_022288728.1,6,NC_035785.1,41842694,41857818,+,111100878,LOC111100878,703,uncharacterized protein LOC111100878 isoform X1,2112,uncharacterized protein LOC111100878 isoform X1,GO:0002376;GO:0003674;GO:0006950;GO:0007165,,
2683,XP_022288729.1,6,NC_035785.1,41842694,41857818,+,111100878,LOC111100878,699,uncharacterized protein LOC111100878 isoform X2,2100,uncharacterized protein LOC111100878 isoform X2,GO:0002376;GO:0003674;GO:0006950;GO:0007165,,
2684,XP_022288730.1,6,NC_035785.1,35344628,35349106,+,111100879,LOC111100879,732,uncharacterized protein LOC111100879 isoform X1,2199,uncharacterized protein LOC111100879 isoform X1,GO:0008219,,
2685,XP_022288731.1,6,NC_035785.1,35342707,35349106,+,111100879,LOC111100879,721,uncharacterized protein LOC111100879 isoform X2,2166,uncharacterized protein LOC111100879 isoform X2,GO:0008219,,
2686,XP_022288732.1,6,NC_035785.1,35349275,35358523,-,111100880,LOC111100880,619,mini-chromosome maintenance complex-binding protein-like,1860,mini-chromosome maintenance complex-binding protein-like,,,
2687,XP_022288733.1,6,NC_035785.1,35358854,35364387,+,111100881,LOC111100881,338,ubiquitin-associated domain-containing protein 2-like,1017,ubiquitin-associated domain-containing protein 2-like,GO:0003674,,
2688,XP_022288734.1,1,NC_035780.1,59908389,59922086,-,111100876,LOC111100876,898,brain-specific angiogenesis inhibitor 1-like,2697,brain-specific angiogenesis inhibitor 1-like,GO:0003674;GO:0005575;GO:0007165;GO:0048646,,
2689,XP_022288735.1,6,NC_035785.1,21619242,21620912,-,111100882,LOC111100882,556,uncharacterized protein LOC111100882,1671,uncharacterized protein LOC111100882,GO:0043167,,
2690,XP_022288736.1,6,NC_035785.1,21666904,21668571,-,111100883,LOC111100883,555,uncharacterized protein LOC111100883,1668,uncharacterized protein LOC111100883,GO:0043167,,
2691,XP_022288737.1,6,NC_035785.1,21592038,21593702,-,111100884,LOC111100884,554,uncharacterized protein LOC111100884,1665,uncharacterized protein LOC111100884,GO:0043167,,
2692,XP_022288738.1,6,NC_035785.1,21592038,21593702,-,111100884,LOC111100884,554,uncharacterized protein LOC111100884,1665,uncharacterized protein LOC111100884,GO:0043167,,
2693,XP_022288739.1,6,NC_035785.1,21686686,21688191,-,111100885,LOC111100885,501,uncharacterized protein LOC111100885,1506,uncharacterized protein LOC111100885,GO:0043167,,
2694,XP_022288740.1,6,NC_035785.1,21639056,21640120,-,111100886,LOC111100886,354,uncharacterized protein LOC111100886,1065,uncharacterized protein LOC111100886,GO:0003674,,
2695,XP_022288741.1,6,NC_035785.1,21647624,21648956,-,111100887,LOC111100887,165,lysophospholipid acyltransferase 7-like isoform X1,498,lysophospholipid acyltransferase 7-like isoform X1,,,
2696,XP_022288742.1,6,NC_035785.1,21647624,21648895,-,111100887,LOC111100887,132,lysophospholipid acyltransferase 7-like isoform X2,399,lysophospholipid acyltransferase 7-like isoform X2,,,
2697,XP_022288743.1,6,NC_035785.1,21596421,21598133,-,111100889,LOC111100889,142,lysophospholipid acyltransferase 7-like,429,lysophospholipid acyltransferase 7-like,,,
2698,XP_022288744.1,6,NC_035785.1,21674101,21674916,-,111100890,LOC111100890,141,lysophospholipid acyltransferase 7-like,426,lysophospholipid acyltransferase 7-like,,,
2699,XP_022288745.1,1,NC_035780.1,59955774,59972896,-,111100888,LOC111100888,927,LOW QUALITY PROTEIN: von Willebrand factor A domain-containing protein 7-like,2781,LOW QUALITY PROTEIN: von Willebrand factor A domain-containing protein 7-like,,,
2700,XP_022288746.1,6,NC_035785.1,25662663,25666405,+,111100893,LOC111100893,615,putative inhibitor of apoptosis isoform X1,1848,putative inhibitor of apoptosis isoform X1,,,
2701,XP_022288747.1,6,NC_035785.1,25662663,25666405,+,111100893,LOC111100893,588,putative inhibitor of apoptosis isoform X2,1767,putative inhibitor of apoptosis isoform X2,,,
2702,XP_022288748.1,6,NC_035785.1,25662663,25666405,+,111100893,LOC111100893,588,putative inhibitor of apoptosis isoform X3,1767,putative inhibitor of apoptosis isoform X3,,,
2703,XP_022288749.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2704,XP_022288750.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2705,XP_022288751.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2706,XP_022288752.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2707,XP_022288753.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2708,XP_022288754.1,6,NC_035785.1,25684140,25687439,+,111100894,LOC111100894,596,putative inhibitor of apoptosis,1791,putative inhibitor of apoptosis,,,
2709,XP_022288755.1,6,NC_035785.1,36817964,36831416,-,111100896,LOC111100896,852,fibroblast growth factor receptor 2-like isoform X1,2559,fibroblast growth factor receptor 2-like isoform X1,GO:0005575;GO:0006464;GO:0007165;GO:0008283;GO:0016301;GO:0043167,EC:2.7.10;EC:2.7.10.1;EC:2.7.11,Transferring phosphorus-containing groups;Receptor protein-tyrosine kinase;Transferring phosphorus-containing groups
